Date,Unit Net Value,Cumulative Net Value,Daily Growth
6/18/2020,1.1510,1.1510,1.05%
6/17/2020,1.1390,1.1390,0.89%
6/16/2020,1.1290,1.1290,1.71%
6/15/2020,1.1100,1.1100,0.54%
6/12/2020,1.1040,1.1040,1.19%
6/11/2020,1.0910,1.0910,-3.45%
6/10/2020,1.1300,1.1300,1.71%
6/9/2020,1.1110,1.1110,0.09%
6/8/2020,1.1100,1.1100,-0.18%
6/5/2020,1.1120,1.1120,0.63%
6/4/2020,1.1050,1.1050,-0.81%
6/3/2020,1.1140,1.1140,0.27%
6/2/2020,1.1110,1.1110,-0.36%
6/1/2020,1.1150,1.1150,1.09%
5/29/2020,1.1030,1.1030,1.85%
5/28/2020,1.0830,1.0830,-0.09%
5/27/2020,1.0840,1.0840,-1.19%
5/26/2020,1.0970,1.0970,--
5/22/2020,1.0910,1.0910,-0.73%
5/21/2020,1.0990,1.0990,-1.08%
5/20/2020,1.1110,1.1110,1.18%
5/19/2020,1.0980,1.0980,0.46%
5/18/2020,1.0930,1.0930,0.64%
5/15/2020,1.0860,1.0860,1.12%
5/14/2020,1.074,1.074,0.37%
5/13/2020,1.07,1.07,-0.37%
5/12/2020,1.074,1.074,-1.38%
5/11/2020,1.089,1.089,1.59%
5/8/2020,1.072,1.072,1.23%
5/7/2020,1.059,1.059,1.53%
5/6/2020,1.043,1.043,--
4/29/2020,1.038,1.038,2.06%
4/28/2020,1.017,1.017,-1.17%
4/27/2020,1.029,1.029,0.59%
4/24/2020,1.023,1.023,0.69%
4/23/2020,1.016,1.016,-0.10%
4/22/2020,1.017,1.017,2.73%
4/21/2020,0.99,0.99,-3.23%
4/20/2020,1.023,1.023,-0.29%
4/17/2020,1.026,1.026,0.20%
4/16/2020,1.024,1.024,2.09%
4/15/2020,1.003,1.003,-0.40%
4/14/2020,1.007,1.007,--
4/9/2020,0.957,0.957,-0.10%
4/8/2020,0.958,0.958,0.84%
4/7/2020,0.95,0.95,5.91%
4/3/2020,0.897,0.897,-0.99%
4/2/2020,0.906,0.906,1.46%
4/1/2020,0.893,0.893,-2.93%
3/31/2020,0.92,0.92,-0.11%
3/30/2020,0.921,0.921,2.56%
3/27/2020,0.898,0.898,-3.02%
3/26/2020,0.926,0.926,4.04%
3/25/2020,0.89,0.89,0.00%
3/24/2020,0.89,0.89,7.49%
3/23/2020,0.828,0.828,-0.48%
3/20/2020,0.832,0.832,0.00%
3/19/2020,0.832,0.832,-0.48%
3/18/2020,0.836,0.836,-3.69%
3/17/2020,0.868,0.868,3.70%
3/16/2020,0.837,0.837,-10.10%
3/13/2020,0.931,0.931,6.40%
3/12/2020,0.875,0.875,-8.18%
3/11/2020,0.953,0.953,-2.85%
